source,target,NACE,weight
AE,KW,C,11483155.575222816
AE,AT,C,434752069.0
AE,AT,G,1235477137.0
AE,AT,B,102956552.53569847
AE,AT,C,259336748.19041517
AE,AT,J,14327058.0
AE,AT,H,0.0
AE,AT,K,4219112466.2606463
AE,AU,B,0.0
AE,AU,H,41775708.0
AE,AU,I,247646080.0
AE,AU,H,64820029.23846969
AE,AU,H,809242074.5647883
AE,AU,L,25462141.0
AE,AU,H,62649000.0
AE,AU,H,117525303.0
AE,AU,H,37645958.0
AE,AU,,0.0
AE,BE,C,57519844.47716309
AE,BE,H,9802209.721012115
AE,BE,C,60508514.0
AE,BE,H,0.0
AE,BE,C,158941240.0
AE,BE,H,57061598.0
AE,BE,C,58265565.0
AE,BE,H,74756554.8
AE,BE,L,6247201.9809275055
AE,BE,H,4000004.25
AE,BF,J,129607836.12
AE,BG,G,26847637.52197918
AE,BH,K,34065823.08087349
AE,BH,K,19770757.24972845
AE,BH,C,30144000.244140625
AE,BH,K,5767336.444259605
AE,BH,K,4135500.0
AE,BM,K,8470799.732208252
AE,BR,H,80439162.0
AE,BR,S,10073347.0
AE,BR,L,31903193.18305206
AE,BR,C,56628266.400000006
AE,BR,C,205959220.9552954
AE,CA,G,56261248.11172485
AE,CA,B,8751749.70626831
AE,CA,B,175034994.1253662
AE,CA,G,1914420082.981014
AE,CA,C,4982774193.0
AE,CH,C,583623.9865549867
AE,CH,K,118307131.0
AE,CH,H,0.0
AE,CH,K,14928448.424999999
AE,CN,C,11841160.78444704
AE,CN,C,243036.18080671728
AE,CN,C,3273234.645
AE,CN,B,1008236.819805105
AE,CN,C,9369135.298548937
AE,CN,B,11913146.580431255
AE,CN,C,11258385.106942141
AE,CN,B,3719072.0055189338
AE,CN,C,1058858.6333080633
AE,CN,C,218785.63957499026
AE,CN,B,4974372.1575
AE,CN,F,29855342.7985257
AE,CN,C,2719233.3554041195
AE,CN,C,21499119.0901026
AE,CN,C,276708.39816075383
AE,CN,J,4714402.317156815
AE,CN,N,2031758.0425655036
AE,CN,C,16074723.512404224
AE,CN,H,7306534.800000001
AE,CN,C,320752411.0
AE,CO,K,2605838.25
AE,CO,D,855946.9900704188
AE,CO,C,1579845.2863261513
AE,CO,C,1133735.4404194707
AE,CO,C,11626566.275998207
AE,CW,K,0.0
AE,CZ,I,14504150.0
AE,DE,C,0.0
AE,DE,C,1104229969.0
AE,DE,M,51346372.5
AE,DE,L,6623676.5
AE,DE,M,1348454595.0
AE,DE,C,871800598.0
AE,DE,M,1704133462.3580704
AE,DE,C,19789551.0
AE,DE,C,1316193.5184949492
AE,DE,C,21844823.0
AE,DE,C,23970867.0
AE,DE,C,104401222.0
AE,DE,H,0.0
AE,DE,H,5191754.140421734
AE,DE,G,3291498.159985666
AE,DE,K,26307954.96
AE,DE,N,10524134.346777039
AE,DE,H,14569207.0
AE,DE,E,10553000.0
AE,DE,S,10112348.4
AE,DE,H,1524996.122921047
AE,DE,C,81996699.0
AE,DE,G,0.0
AE,DE,K,9166519.13224473
AE,DZ,H,28329702.0
AE,EG,H,5960000.038146973
AE,EG,B,2836000.061035156
AE,EG,,10000000.0
