target,nace2_2,nace2_1,nace2_1_name,year,source,weight
AE,23,C,Manufacturing,2013,KW,9142002.0
AE,23,C,Manufacturing,2017,KW,15534196.6
AE,23,C,Manufacturing,2018,KW,17254216.2
AU,24,C,Manufacturing,2017,CN,24287976.0
BH,20,C,Manufacturing,2013,KW,132000000.0
BH,20,C,Manufacturing,2015,KW,88110000.0
BM,06,B,Mining and quarrying,2012,CN,2133251250.0
BM,06,B,Mining and quarrying,2013,CN,2260707750.0
BM,06,B,Mining and quarrying,2016,CN,143734707.2
BM,06,B,Mining and quarrying,2017,CN,138646584.0
BM,06,B,Mining and quarrying,2018,CN,132369354.0
BM,06,B,Mining and quarrying,2019,CN,117580779.0
BM,06,B,Mining and quarrying,2020,CN,9289018572.6
BM,06,B,Mining and quarrying,2020,RU,2128865688.0
BM,35,D,"Electricity, gas, steam and air conditioning supply",2014,IN,124756530.0
BM,35,D,"Electricity, gas, steam and air conditioning supply",2018,IN,230843092.2
BM,35,D,"Electricity, gas, steam and air conditioning supply",2020,IN,261146494.7
CN,29,C,Manufacturing,2018,SG,47816013.0
CN,29,C,Manufacturing,2019,SG,48842077.9
CN,51,H,Transportation and storage,2019,QA,1140017150.0
DE,07,B,Mining and quarrying,2016,NO,263839016.0
DE,07,B,Mining and quarrying,2017,NO,324611416.0
DE,07,B,Mining and quarrying,2018,NO,427657240.8
DE,20,C,Manufacturing,2017,NO,5940598.3
DE,20,C,Manufacturing,2018,NO,1081698974.8000002
DE,20,C,Manufacturing,2019,NO,643084407.2
DE,24,C,Manufacturing,2018,NO,14067840.0
DE,24,C,Manufacturing,2019,SG,1383186090.0
DE,24,C,Manufacturing,2020,SG,1255964100.0
DE,29,C,Manufacturing,2012,QA,44629693020.0
DE,29,C,Manufacturing,2016,NO,3064530949.0
DE,29,C,Manufacturing,2017,NO,208295545.0
DE,29,C,Manufacturing,2018,NO,215024135.9
DE,29,C,Manufacturing,2019,CN,9858226900.0
DE,29,C,Manufacturing,2019,KW,13801517660.0
DE,29,C,Manufacturing,2019,NO,212251565.6
DE,29,C,Manufacturing,2019,QA,32754048168.6
DE,29,C,Manufacturing,2020,CN,9586836000.0
DE,29,C,Manufacturing,2020,KW,13038096960.0
DE,29,C,Manufacturing,2020,NO,193710521.5
DE,35,D,"Electricity, gas, steam and air conditioning supply",2012,CH,730536.2999999999
DE,35,D,"Electricity, gas, steam and air conditioning supply",2012,NL,16797.2
DE,35,D,"Electricity, gas, steam and air conditioning supply",2013,CH,814912.8
DE,35,D,"Electricity, gas, steam and air conditioning supply",2013,NL,18648.0
DE,35,D,"Electricity, gas, steam and air conditioning supply",2014,CH,674605.7999999999
DE,35,D,"Electricity, gas, steam and air conditioning supply",2014,NL,13863.2
DE,35,D,"Electricity, gas, steam and air conditioning supply",2015,CH,589078.5
DE,35,D,"Electricity, gas, steam and air conditioning supply",2016,CH,512702.1
DE,35,D,"Electricity, gas, steam and air conditioning supply",2016,NL,8686.0
DE,35,D,"Electricity, gas, steam and air conditioning supply",2017,CH,1884538.8
DE,35,D,"Electricity, gas, steam and air conditioning supply",2017,FI,40959596146.5
DE,35,D,"Electricity, gas, steam and air conditioning supply",2017,NL,345056.4
DE,35,D,"Electricity, gas, steam and air conditioning supply",2018,CH,1881642.0
DE,35,D,"Electricity, gas, steam and air conditioning supply",2018,FI,45146815243.5
DE,35,D,"Electricity, gas, steam and air conditioning supply",2018,NL,344526.0
DE,35,D,"Electricity, gas, steam and air conditioning supply",2019,CH,1946876.8
DE,35,D,"Electricity, gas, steam and air conditioning supply",2019,NL,356470.4
DE,51,H,Transportation and storage,2018,NO,1176235961.1
DE,51,H,Transportation and storage,2019,NO,1208166783.1
ES,06,B,Mining and quarrying,2012,MX,7380083729.999999
